Date,Product,Sales,Quantity,Price,Region,Category,Marketing_Spend
2023-01-01,Product A,1500.50,100,15.01,North,Electronics,250.00
2023-01-02,Product B,2300.75,150,15.34,South,Electronics,300.00
2023-01-03,Product C,1800.25,120,15.00,East,Clothing,200.00
2023-01-04,Product A,1600.00,110,14.55,North,Electronics,275.00
2023-01-05,Product B,2450.80,160,15.32,South,Electronics,320.00
2023-01-06,Product C,1950.30,130,15.00,East,Clothing,220.00
2023-01-07,Product D,3200.00,200,16.00,West,Home,400.00
2023-01-08,Product A,1750.25,115,15.22,North,Electronics,290.00
2023-01-09,Product B,2600.45,170,15.30,South,Electronics,340.00
2023-01-10,Product C,2100.75,140,15.01,East,Clothing,240.00
2023-01-11,Product D,3450.50,215,16.05,West,Home,420.00
2023-01-12,Product A,1900.00,125,15.20,North,Electronics,310.00
2023-01-13,Product B,2750.90,180,15.28,South,Electronics,360.00
2023-01-14,Product C,2250.40,150,15.00,East,Clothing,260.00
2023-01-15,Product D,3700.25,230,16.09,West,Home,440.00
2023-01-16,Product A,2050.75,135,15.19,North,Electronics,330.00
2023-01-17,Product B,2900.60,190,15.27,South,Electronics,380.00
2023-01-18,Product C,2400.85,160,15.01,East,Clothing,280.00
2023-01-19,Product D,3950.00,245,16.12,West,Home,460.00
2023-01-20,Product A,2200.50,145,15.17,North,Electronics,350.00
2023-01-21,Product B,3100.25,203,15.27,South,Electronics,400.00
2023-01-22,Product C,2600.75,173,15.03,East,Clothing,300.00
2023-01-23,Product D,4200.80,260,16.16,West,Home,480.00
2023-01-24,Product A,2350.00,155,15.16,North,Electronics,370.00
2023-01-25,Product B,3250.70,213,15.26,South,Electronics,420.00
2023-01-26,Product C,2750.20,183,15.04,East,Clothing,320.00
2023-01-27,Product D,4450.35,275,16.18,West,Home,500.00
2023-01-28,Product A,2500.90,165,15.16,North,Electronics,390.00
2023-01-29,Product B,3400.80,223,15.25,South,Electronics,440.00
2023-01-30,Product C,2900.45,193,15.03,East,Clothing,340.00
2023-01-31,Product D,4700.25,290,16.21,West,Home,520.00
2023-02-01,Product A,2650.75,175,15.15,North,Electronics,410.00
2023-02-02,Product B,3550.60,233,15.24,South,Electronics,460.00
2023-02-03,Product C,3050.90,203,15.02,East,Clothing,360.00
2023-02-04,Product D,4950.50,305,16.23,West,Home,540.00
2023-02-05,Product A,2800.25,185,15.14,North,Electronics,430.00
2023-02-06,Product B,3700.45,243,15.23,South,Electronics,480.00
2023-02-07,Product C,3200.75,213,15.01,East,Clothing,380.00
2023-02-08,Product D,5200.80,320,16.25,West,Home,560.00
2023-02-09,Product A,2950.60,195,15.13,North,Electronics,450.00
2023-02-10,Product B,3850.70,253,15.22,South,Electronics,500.00